student_id,student_dept,company,company_dept,rank,phase,result,slot
S00001,臨床工学技士科,和泉市立総合医療センター(指定管理者医療法人徳洲会),臨床工学技士科,1.0,preference,OK,
S00001,臨床工学技士科,社会医療法人 弘道会守口生野記念病院・なにわ生野病院・萱島生野病院・寝屋川生野病院,臨床工学技士科,2.0,preference,OK,
S00001,臨床工学技士科,医療法人春秋会城山病院,臨床工学技士科,3.0,preference,OK,
S00020,臨床工学技士科,シップヘルスケアホールディングス株式会社(シップヘルスケアグループ),臨床工学技士科,1.0,preference,OK,
S00020,臨床工学技士科,社会医療法人 弘道会守口生野記念病院・なにわ生野病院・萱島生野病院・寝屋川生野病院,臨床工学技士科,2.0,preference,OK,
S00020,臨床工学技士科,社会医療法人 祥和会脳神経センター大田記念病院,臨床工学技士科,3.0,preference,OK,
S00034,臨床工学技士科,医療法人春秋会城山病院,臨床工学技士科,1.0,preference,OK,
S00034,臨床工学技士科,社会医療法人 畿内会岡波総合病院,臨床工学技士科,2.0,preference,OK,
S00034,臨床工学技士科,公益財団法人総合病院浅香山病院,臨床工学技士科,3.0,preference,OK,
S00039,臨床工学技士科,社会医療法人 愛仁会,臨床工学技士科,1.0,preference,OK,
S00039,臨床工学技士科,社会医療法人 祐生会 みどりヶ丘病院茨木みどりヶ丘病院,臨床工学技士科,2.0,preference,OK,
S00039,臨床工学技士科,和泉市立総合医療センター(指定管理者医療法人徳洲会),臨床工学技士科,3.0,preference,OK,
S00109,臨床工学技士科,医療法人 徳洲会 野崎徳州会病院,臨床工学技士科,1.0,preference,OK,
S00109,臨床工学技士科,トータルヘルスケアサービスホロニクスグループ医療法人医誠会,臨床工学技士科,2.0,preference,OK,
S00109,臨床工学技士科,社会医療法人 愛仁会,臨床工学技士科,3.0,preference,OK,
S00121,臨床工学技士科,シップヘルスケアホールディングス株式会社(シップヘルスケアグループ),臨床工学技士科,1.0,preference,OK,
S00121,臨床工学技士科,トータルヘルスケアサービスホロニクスグループ医療法人医誠会,臨床工学技士科,2.0,preference,OK,
S00121,臨床工学技士科,医療法人 朗源会おおくま病院,臨床工学技士科,3.0,preference,OK,
S00123,臨床工学技士科,医療法人春秋会城山病院,臨床工学技士科,1.0,preference,OK,
S00123,臨床工学技士科,医療法人 徳洲会 野崎徳州会病院,臨床工学技士科,2.0,preference,OK,
S00123,臨床工学技士科,シップヘルスケアホールディングス株式会社(シップヘルスケアグループ),臨床工学技士科,3.0,preference,OK,
S00129,臨床工学技士科,社会医療法人 若弘会若草第一病院、わかくさ竜間リハビリテーション病院,臨床工学技士科,1.0,preference,OK,
S00129,臨床工学技士科,医療法人社団 石鎚会京都田辺中央病院/京都田辺記念病院/同志社山手病院/やすらぎ保育園/介護老人保健施設やすらぎ苑,臨床工学技士科,2.0,preference,OK,
S00129,臨床工学技士科,シップヘルスケアホールディングス株式会社(シップヘルスケアグループ),臨床工学技士科,3.0,preference,OK,
S00175,臨床工学技士科,医療法人社団 洛和会,臨床工学技士科,1.0,preference,OK,
S00175,臨床工学技士科,医療法人 徳洲会 野崎徳州会病院,臨床工学技士科,2.0,preference,OK,
S00175,臨床工学技士科,社会医療法人三車会貴志川リハビリテーション病院,臨床工学技士科,3.0,preference,OK,
S00191,臨床工学技士科,医療法人 徳洲会 八尾徳洲会総合病院,臨床工学技士科,1.0,preference,OK,
S00191,臨床工学技士科,医療法人 朗源会おおくま病院,臨床工学技士科,2.0,preference,OK,
S00191,臨床工学技士科,社会医療法人 愛仁会,臨床工学技士科,3.0,preference,OK,
S00202,臨床工学技士科,和泉市立総合医療センター(指定管理者医療法人徳洲会),臨床工学技士科,1.0,preference,OK,
S00202,臨床工学技士科,社会医療法人 岡本病院(財団)京都岡本記念病院・くみやま岡本病院,臨床工学技士科,2.0,preference,OK,
S00202,臨床工学技士科,社会医療法人三車会貴志川リハビリテーション病院,臨床工学技士科,3.0,preference,OK,
S00210,臨床工学技士科,医療法人 藤井会,臨床工学技士科,1.0,preference,OK,
S00210,臨床工学技士科,社会医療法人 祥和会脳神経センター大田記念病院,臨床工学技士科,2.0,preference,OK,
S00210,臨床工学技士科,医療法人良秀会藤井病院・高石藤井病院・泉南藤井病院・泉北藤井病院,臨床工学技士科,3.0,preference,OK,
S00261,臨床工学技士科,社会医療法人 岡本病院(財団)京都岡本記念病院・くみやま岡本病院,臨床工学技士科,1.0,preference,OK,
S00261,臨床工学技士科,医療法人良秀会藤井病院・高石藤井病院・泉南藤井病院・泉北藤井病院,臨床工学技士科,2.0,preference,OK,
S00261,臨床工学技士科,社会医療法人 彩樹守口敬仁会病院,臨床工学技士科,3.0,preference,OK,
S00317,臨床工学技士科,医療法人 信和会(明和病院・めいわリハビリテーション病院),臨床工学技士科,1.0,preference,OK,
S00317,臨床工学技士科,医療法人春秋会城山病院,臨床工学技士科,2.0,preference,OK,
S00317,臨床工学技士科,和泉市立総合医療センター(指定管理者医療法人徳洲会),臨床工学技士科,3.0,preference,OK,
S00362,臨床工学技士科,医療法人 藤井会,臨床工学技士科,1.0,preference,OK,
S00362,臨床工学技士科,医療法人春秋会城山病院,臨床工学技士科,2.0,preference,OK,
S00362,臨床工学技士科,医療法人 新生会総合病院高の原中央病院,臨床工学技士科,3.0,preference,OK,
S00363,臨床工学技士科,医療法人春秋会城山病院,臨床工学技士科,1.0,preference,OK,
S00363,臨床工学技士科,社会医療法人 寿楽会 大野記念病院,臨床工学技士科,2.0,preference,OK,
S00363,臨床工学技士科,社会医療法人 畿内会岡波総合病院,臨床工学技士科,3.0,preference,OK,
S00476,臨床工学技士科,社会医療法人 弘道会守口生野記念病院・なにわ生野病院・萱島生野病院・寝屋川生野病院,臨床工学技士科,1.0,preference,OK,
S00476,臨床工学技士科,和泉市立総合医療センター(指定管理者医療法人徳洲会),臨床工学技士科,2.0,preference,OK,
S00476,臨床工学技士科,社会医療法人 祥和会脳神経センター大田記念病院,臨床工学技士科,3.0,preference,OK,
S00532,臨床工学技士科,社会医療法人 愛仁会,臨床工学技士科,1.0,preference,OK,
S00532,臨床工学技士科,医療法人社団 洛和会,臨床工学技士科,2.0,preference,OK,
S00532,臨床工学技士科,和泉市立総合医療センター(指定管理者医療法人徳洲会),臨床工学技士科,3.0,preference,OK,
S00544,臨床工学技士科,社会医療法人 畿内会岡波総合病院,臨床工学技士科,1.0,preference,OK,
S00544,臨床工学技士科,トータルヘルスケアサービスホロニクスグループ医療法人医誠会,臨床工学技士科,2.0,preference,OK,
S00544,臨床工学技士科,社会医療法人三車会貴志川リハビリテーション病院,臨床工学技士科,3.0,preference,OK,
S00553,臨床工学技士科,医療法人 新生会総合病院高の原中央病院,臨床工学技士科,1.0,preference,OK,
S00553,臨床工学技士科,社会医療法人 岡本病院(財団)京都岡本記念病院・くみやま岡本病院,臨床工学技士科,2.0,preference,OK,
S00553,臨床工学技士科,社会医療法人三車会貴志川リハビリテーション病院,臨床工学技士科,3.0,preference,OK,
S00563,臨床工学技士科,社会医療法人 彩樹守口敬仁会病院,臨床工学技士科,1.0,preference,OK,
S00563,臨床工学技士科,社会医療法人 畿内会岡波総合病院,臨床工学技士科,2.0,preference,OK,
S00563,臨床工学技士科,医療法人 信和会(明和病院・めいわリハビリテーション病院),臨床工学技士科,3.0,preference,OK,
S00572,臨床工学技士科,医療法人 徳洲会 野崎徳州会病院,臨床工学技士科,1.0,preference,OK,
S00572,臨床工学技士科,社会医療法人三車会貴志川リハビリテーション病院,臨床工学技士科,2.0,preference,OK,
S00572,臨床工学技士科,シップヘルスケアホールディングス株式会社(シップヘルスケアグループ),臨床工学技士科,3.0,preference,OK,
S00625,臨床工学技士科,社会医療法人 岡本病院(財団)京都岡本記念病院・くみやま岡本病院,臨床工学技士科,1.0,preference,OK,
S00625,臨床工学技士科,社会医療法人 若弘会若草第一病院、わかくさ竜間リハビリテーション病院,臨床工学技士科,2.0,preference,OK,
S00625,臨床工学技士科,トータルヘルスケアサービスホロニクスグループ医療法人医誠会,臨床工学技士科,3.0,preference,OK,
S00633,臨床工学技士科,社会医療法人 若弘会若草第一病院、わかくさ竜間リハビリテーション病院,臨床工学技士科,1.0,preference,OK,
S00633,臨床工学技士科,医療法人春秋会城山病院,臨床工学技士科,2.0,preference,OK,
S00633,臨床工学技士科,社会医療法人 祥和会脳神経センター大田記念病院,臨床工学技士科,3.0,preference,OK,
S00698,臨床工学技士科,医療法人 徳洲会 野崎徳州会病院,臨床工学技士科,1.0,preference,OK,
S00698,臨床工学技士科,社会医療法人 祥和会脳神経センター大田記念病院,臨床工学技士科,2.0,preference,OK,
S00698,臨床工学技士科,社会医療法人 若弘会若草第一病院、わかくさ竜間リハビリテーション病院,臨床工学技士科,3.0,preference,OK,
S00721,臨床工学技士科,医療法人春秋会城山病院,臨床工学技士科,1.0,preference,OK,
S00721,臨床工学技士科,医療法人社団 石鎚会京都田辺中央病院/京都田辺記念病院/同志社山手病院/やすらぎ保育園/介護老人保健施設やすらぎ苑,臨床工学技士科,2.0,preference,OK,
S00721,臨床工学技士科,医療法人 信和会(明和病院・めいわリハビリテーション病院),臨床工学技士科,3.0,preference,OK,
S00726,臨床工学技士科,社会医療法人三車会貴志川リハビリテーション病院,臨床工学技士科,1.0,preference,OK,
S00726,臨床工学技士科,社会医療法人 岡本病院(財団)京都岡本記念病院・くみやま岡本病院,臨床工学技士科,2.0,preference,OK,
S00726,臨床工学技士科,トータルヘルスケアサービスホロニクスグループ医療法人医誠会,臨床工学技士科,3.0,preference,OK,
S00767,臨床工学技士科,シップヘルスケアホールディングス株式会社(シップヘルスケアグループ),臨床工学技士科,1.0,preference,OK,
S00767,臨床工学技士科,社会医療法人 畿内会岡波総合病院,臨床工学技士科,2.0,preference,OK,
S00767,臨床工学技士科,医療法人 徳洲会 八尾徳洲会総合病院,臨床工学技士科,3.0,preference,OK,
S00790,臨床工学技士科,医療法人 信和会(明和病院・めいわリハビリテーション病院),臨床工学技士科,1.0,preference,OK,
S00790,臨床工学技士科,シップヘルスケアホールディングス株式会社(シップヘルスケアグループ),臨床工学技士科,2.0,preference,OK,
S00790,臨床工学技士科,医療法人 徳洲会 野崎徳州会病院,臨床工学技士科,3.0,preference,OK,
S00805,臨床工学技士科,トータルヘルスケアサービスホロニクスグループ医療法人医誠会,臨床工学技士科,1.0,preference,OK,
S00805,臨床工学技士科,医療法人 藤井会,臨床工学技士科,2.0,preference,OK,
S00805,臨床工学技士科,社会医療法人 岡本病院(財団)京都岡本記念病院・くみやま岡本病院,臨床工学技士科,3.0,preference,OK,
S00819,臨床工学技士科,医療法人 徳洲会 野崎徳州会病院,臨床工学技士科,1.0,preference,OK,
S00819,臨床工学技士科,医療法人社団 石鎚会京都田辺中央病院/京都田辺記念病院/同志社山手病院/やすらぎ保育園/介護老人保健施設やすらぎ苑,臨床工学技士科,2.0,preference,OK,
S00819,臨床工学技士科,医療法人 信和会(明和病院・めいわリハビリテーション病院),臨床工学技士科,3.0,preference,OK,
S00853,臨床工学技士科,社会医療法人 寿楽会 大野記念病院,臨床工学技士科,1.0,preference,OK,
S00853,臨床工学技士科,社会医療法人 弘道会守口生野記念病院・なにわ生野病院・萱島生野病院・寝屋川生野病院,臨床工学技士科,2.0,preference,OK,
S00853,臨床工学技士科,社会医療法人 若弘会若草第一病院、わかくさ竜間リハビリテーション病院,臨床工学技士科,3.0,preference,OK,
S00939,臨床工学技士科,医療法人 藤井会,臨床工学技士科,1.0,preference,OK,
S00939,臨床工学技士科,医療法人 徳洲会 八尾徳洲会総合病院,臨床工学技士科,2.0,preference,OK,
S00939,臨床工学技士科,トータルヘルスケアサービスホロニクスグループ医療法人医誠会,臨床工学技士科,3.0,preference,OK,
S00001,臨床工学技士科,和泉市立総合医療センター(指定管理者医療法人徳洲会),臨床工学技士科,,assignment,OK,0.0
S00001,臨床工学技士科,社会医療法人 弘道会守口生野記念病院・なにわ生野病院・萱島生野病院・寝屋川生野病院,臨床工学技士科,,assignment,OK,1.0
S00001,臨床工学技士科,医療法人春秋会城山病院,臨床工学技士科,,assignment,OK,2.0
S00020,臨床工学技士科,公益財団法人総合病院浅香山病院,臨床工学技士科,,assignment,OK,0.0
S00020,臨床工学技士科,社会医療法人 弘道会守口生野記念病院・なにわ生野病院・萱島生野病院・寝屋川生野病院,臨床工学技士科,,assignment,OK,1.0
S00020,臨床工学技士科,シップヘルスケアホールディングス株式会社(シップヘルスケアグループ),臨床工学技士科,,assignment,OK,2.0
S00034,臨床工学技士科,医療法人春秋会城山病院,臨床工学技士科,,assignment,OK,0.0
S00034,臨床工学技士科,社会医療法人 畿内会岡波総合病院,臨床工学技士科,,assignment,OK,1.0
S00034,臨床工学技士科,公益財団法人総合病院浅香山病院,臨床工学技士科,,assignment,OK,2.0
S00039,臨床工学技士科,社会医療法人 愛仁会,臨床工学技士科,,assignment,OK,0.0
S00039,臨床工学技士科,公益財団法人総合病院浅香山病院,臨床工学技士科,,assignment,OK,1.0
S00039,臨床工学技士科,社会医療法人 祐生会 みどりヶ丘病院茨木みどりヶ丘病院,臨床工学技士科,,assignment,OK,2.0
S00109,臨床工学技士科,医療法人 徳洲会 野崎徳州会病院,臨床工学技士科,,assignment,OK,0.0
S00109,臨床工学技士科,医療法人 信和会(明和病院・めいわリハビリテーション病院),臨床工学技士科,,assignment,OK,1.0
S00109,臨床工学技士科,トータルヘルスケアサービスホロニクスグループ医療法人医誠会,臨床工学技士科,,assignment,OK,2.0
S00121,臨床工学技士科,シップヘルスケアホールディングス株式会社(シップヘルスケアグループ),臨床工学技士科,,assignment,OK,0.0
S00121,臨床工学技士科,トータルヘルスケアサービスホロニクスグループ医療法人医誠会,臨床工学技士科,,assignment,OK,1.0
S00121,臨床工学技士科,医療法人 朗源会おおくま病院,臨床工学技士科,,assignment,OK,2.0
S00123,臨床工学技士科,医療法人春秋会城山病院,臨床工学技士科,,assignment,OK,0.0
S00123,臨床工学技士科,医療法人 新生会総合病院高の原中央病院,臨床工学技士科,,assignment,OK,1.0
S00123,臨床工学技士科,公益財団法人総合病院浅香山病院,臨床工学技士科,,assignment,OK,2.0
S00129,臨床工学技士科,医療法人 朗源会おおくま病院,臨床工学技士科,,assignment,OK,0.0
S00129,臨床工学技士科,医療法人社団 石鎚会京都田辺中央病院/京都田辺記念病院/同志社山手病院/やすらぎ保育園/介護老人保健施設やすらぎ苑,臨床工学技士科,,assignment,OK,1.0
S00129,臨床工学技士科,医療法人 信和会(明和病院・めいわリハビリテーション病院),臨床工学技士科,,assignment,OK,2.0
S00175,臨床工学技士科,医療法人社団 洛和会,臨床工学技士科,,assignment,OK,0.0
S00175,臨床工学技士科,医療法人 徳洲会 野崎徳州会病院,臨床工学技士科,,assignment,OK,1.0
S00175,臨床工学技士科,医療法人 藤井会,臨床工学技士科,,assignment,OK,2.0
S00191,臨床工学技士科,医療法人 徳洲会 八尾徳洲会総合病院,臨床工学技士科,,assignment,OK,0.0
S00191,臨床工学技士科,医療法人 朗源会おおくま病院,臨床工学技士科,,assignment,OK,1.0
S00191,臨床工学技士科,社会医療法人 愛仁会,臨床工学技士科,,assignment,OK,2.0
S00202,臨床工学技士科,和泉市立総合医療センター(指定管理者医療法人徳洲会),臨床工学技士科,,assignment,OK,0.0
S00202,臨床工学技士科,社会医療法人 岡本病院(財団)京都岡本記念病院・くみやま岡本病院,臨床工学技士科,,assignment,OK,1.0
S00202,臨床工学技士科,医療法人社団 洛和会,臨床工学技士科,,assignment,OK,2.0
S00210,臨床工学技士科,医療法人 藤井会,臨床工学技士科,,assignment,OK,0.0
S00210,臨床工学技士科,社会医療法人 祥和会脳神経センター大田記念病院,臨床工学技士科,,assignment,OK,1.0
S00210,臨床工学技士科,医療法人良秀会藤井病院・高石藤井病院・泉南藤井病院・泉北藤井病院,臨床工学技士科,,assignment,OK,2.0
S00261,臨床工学技士科,社会医療法人 岡本病院(財団)京都岡本記念病院・くみやま岡本病院,臨床工学技士科,,assignment,OK,0.0
S00261,臨床工学技士科,医療法人良秀会藤井病院・高石藤井病院・泉南藤井病院・泉北藤井病院,臨床工学技士科,,assignment,OK,1.0
S00261,臨床工学技士科,社会医療法人 彩樹守口敬仁会病院,臨床工学技士科,,assignment,OK,2.0
S00317,臨床工学技士科,医療法人社団 石鎚会京都田辺中央病院/京都田辺記念病院/同志社山手病院/やすらぎ保育園/介護老人保健施設やすらぎ苑,臨床工学技士科,,assignment,OK,0.0
S00317,臨床工学技士科,医療法人春秋会城山病院,臨床工学技士科,,assignment,OK,1.0
S00317,臨床工学技士科,医療法人 徳洲会 八尾徳洲会総合病院,臨床工学技士科,,assignment,OK,2.0
S00362,臨床工学技士科,医療法人 藤井会,臨床工学技士科,,assignment,OK,0.0
S00362,臨床工学技士科,医療法人春秋会城山病院,臨床工学技士科,,assignment,OK,1.0
S00362,臨床工学技士科,医療法人 新生会総合病院高の原中央病院,臨床工学技士科,,assignment,OK,2.0
S00363,臨床工学技士科,医療法人春秋会城山病院,臨床工学技士科,,assignment,OK,0.0
S00363,臨床工学技士科,社会医療法人 寿楽会 大野記念病院,臨床工学技士科,,assignment,OK,1.0
S00363,臨床工学技士科,社会医療法人 畿内会岡波総合病院,臨床工学技士科,,assignment,OK,2.0
S00476,臨床工学技士科,社会医療法人 弘道会守口生野記念病院・なにわ生野病院・萱島生野病院・寝屋川生野病院,臨床工学技士科,,assignment,OK,0.0
S00476,臨床工学技士科,和泉市立総合医療センター(指定管理者医療法人徳洲会),臨床工学技士科,,assignment,OK,1.0
S00476,臨床工学技士科,医療法人社団 石鎚会京都田辺中央病院/京都田辺記念病院/同志社山手病院/やすらぎ保育園/介護老人保健施設やすらぎ苑,臨床工学技士科,,assignment,OK,2.0
S00532,臨床工学技士科,社会医療法人 愛仁会,臨床工学技士科,,assignment,OK,0.0
S00532,臨床工学技士科,医療法人社団 洛和会,臨床工学技士科,,assignment,OK,1.0
S00532,臨床工学技士科,和泉市立総合医療センター(指定管理者医療法人徳洲会),臨床工学技士科,,assignment,OK,2.0
S00544,臨床工学技士科,医療法人良秀会藤井病院・高石藤井病院・泉南藤井病院・泉北藤井病院,臨床工学技士科,,assignment,OK,0.0
S00544,臨床工学技士科,トータルヘルスケアサービスホロニクスグループ医療法人医誠会,臨床工学技士科,,assignment,OK,1.0
S00544,臨床工学技士科,医療法人 徳洲会 野崎徳州会病院,臨床工学技士科,,assignment,OK,2.0
S00553,臨床工学技士科,医療法人 新生会総合病院高の原中央病院,臨床工学技士科,,assignment,OK,0.0
S00553,臨床工学技士科,社会医療法人 岡本病院(財団)京都岡本記念病院・くみやま岡本病院,臨床工学技士科,,assignment,OK,1.0
S00553,臨床工学技士科,社会医療法人三車会貴志川リハビリテーション病院,臨床工学技士科,,assignment,OK,2.0
S00563,臨床工学技士科,社会医療法人 彩樹守口敬仁会病院,臨床工学技士科,,assignment,OK,0.0
S00563,臨床工学技士科,社会医療法人 畿内会岡波総合病院,臨床工学技士科,,assignment,OK,1.0
S00563,臨床工学技士科,社会医療法人 寿楽会 大野記念病院,臨床工学技士科,,assignment,OK,2.0
S00572,臨床工学技士科,医療法人 徳洲会 野崎徳州会病院,臨床工学技士科,,assignment,OK,0.0
S00572,臨床工学技士科,社会医療法人三車会貴志川リハビリテーション病院,臨床工学技士科,,assignment,OK,1.0
S00572,臨床工学技士科,シップヘルスケアホールディングス株式会社(シップヘルスケアグループ),臨床工学技士科,,assignment,OK,2.0
S00625,臨床工学技士科,社会医療法人 岡本病院(財団)京都岡本記念病院・くみやま岡本病院,臨床工学技士科,,assignment,OK,0.0
S00625,臨床工学技士科,社会医療法人 若弘会若草第一病院、わかくさ竜間リハビリテーション病院,臨床工学技士科,,assignment,OK,1.0
S00625,臨床工学技士科,社会医療法人 弘道会守口生野記念病院・なにわ生野病院・萱島生野病院・寝屋川生野病院,臨床工学技士科,,assignment,OK,2.0
S00633,臨床工学技士科,社会医療法人 若弘会若草第一病院、わかくさ竜間リハビリテーション病院,臨床工学技士科,,assignment,OK,0.0
S00633,臨床工学技士科,医療法人春秋会城山病院,臨床工学技士科,,assignment,OK,1.0
S00633,臨床工学技士科,社会医療法人 祥和会脳神経センター大田記念病院,臨床工学技士科,,assignment,OK,2.0
S00698,臨床工学技士科,医療法人 徳洲会 野崎徳州会病院,臨床工学技士科,,assignment,OK,0.0
S00698,臨床工学技士科,社会医療法人 彩樹守口敬仁会病院,臨床工学技士科,,assignment,OK,1.0
S00698,臨床工学技士科,医療法人 新生会総合病院高の原中央病院,臨床工学技士科,,assignment,OK,2.0
S00721,臨床工学技士科,医療法人春秋会城山病院,臨床工学技士科,,assignment,OK,0.0
S00721,臨床工学技士科,社会医療法人 愛仁会,臨床工学技士科,,assignment,OK,1.0
S00721,臨床工学技士科,医療法人 朗源会おおくま病院,臨床工学技士科,,assignment,OK,2.0
