student_id,slot_0,slot_1,slot_2,dept,score
S00001,医療法人 正正会 分野病院,,,社会福祉科,3
S00002,,医療法人 恒昭会（藍野病院・藍野花園病院・青葉丘病院）,社会医療法人寿栄会 ありまこうげんホスピタル,社会福祉科,5
S00003,,,一般社団法人 水口病院,社会福祉科,2
S00004,社会医療法人寿栄会 ありまこうげんホスピタル,社会福祉法人　京都府社会福祉事業団,,社会福祉科,5
S00005,株式会社 Ｔ’Ｓコーポレーショングループ,社会福祉法人 みなと寮　（救護施設・特別養護老人ホーム）,,社会福祉科,5
S00006,公益財団法人　総合病院　浅香山病院,社会福祉法人 みなと寮　（救護施設・特別養護老人ホーム）,,社会福祉科,5
S00007,株式会社　絆ホールディングス,医療法人 恒昭会（藍野病院・藍野花園病院・青葉丘病院）,,社会福祉科,5
S00008,社会福祉法人 聖徳会,社会福祉法人 産経新聞厚生文化事業団,,社会福祉科,5
S00009,株式会社 Ｔ’Ｓコーポレーショングループ,医療法人社団 創生会,,社会福祉科,5
S00010,,社会福祉法人 天心会　小阪病院,一般社団法人 水口病院,社会福祉科,5
S00011,,,社会福祉法人 ヒューマンライツ福祉協会,社会福祉科,2
S00012,株式会社スバコ・ケア・エンジニアリング,,,社会福祉科,3
S00013,,,株式会社 Ｔ’Ｓコーポレーショングループ,社会福祉科,3
S00014,,社会医療法人寿栄会 ありまこうげんホスピタル,社会福祉法人 みなと寮　（救護施設・特別養護老人ホーム）,社会福祉科,5
S00015,,,社会福祉法人　京都府社会福祉事業団,社会福祉科,3
S00016,,社会福祉法人 聖徳会,社会福祉法人 産経新聞厚生文化事業団,社会福祉科,5
S00017,株式会社スバコ・ケア・エンジニアリング,一般社団法人 水口病院,,社会福祉科,5
S00018,,株式会社 シーアイ・パートナーズグループ,株式会社スバコ・ケア・エンジニアリング,社会福祉科,5
S00019,,株式会社 シーアイ・パートナーズグループ,社会医療法人寿栄会 ありまこうげんホスピタル,社会福祉科,5
S00020,公益財団法人　総合病院　浅香山病院,株式会社スバコ・ケア・エンジニアリング,,社会福祉科,5
S00021,,株式会社スバコ・ケア・エンジニアリング,社会福祉法人 天心会　小阪病院,社会福祉科,5
S00022,社会福祉法人 南湖会【障がい児者支援事業】,"株式会社 ミック・ジャパン
【ミック健康の森】　【ドラッグミック】　【ローソンドラッグミック】",,社会福祉科,3
S00023,公益財団法人　総合病院　浅香山病院,社会福祉法人 産経新聞厚生文化事業団,,社会福祉科,5
S00024,社会福祉法人 ヒューマンライツ福祉協会,株式会社 Ｔ’Ｓコーポレーショングループ,,社会福祉科,5
S00025,社会医療法人寿栄会 ありまこうげんホスピタル,株式会社 シーアイ・パートナーズグループ,,社会福祉科,5
S00026,株式会社スバコ・ケア・エンジニアリング,一般社団法人 水口病院,,社会福祉科,5
S00027,一般社団法人 水口病院,株式会社　絆ホールディングス,,社会福祉科,5
S00028,社会福祉法人 南湖会【障がい児者支援事業】,株式会社スバコ・ケア・エンジニアリング,,社会福祉科,5
S00029,社会福祉法人 産経新聞厚生文化事業団,株式会社　絆ホールディングス,,社会福祉科,5
S00030,社会福祉法人 南湖会【障がい児者支援事業】,社会福祉法人 聖徳会,,社会福祉科,5
S00031,医療法人 正正会 分野病院,社会福祉法人 天心会　小阪病院,,社会福祉科,5
S00032,社会福祉法人 天心会　小阪病院,,,社会福祉科,3
S00033,社会福祉法人 ヒューマンライツ福祉協会,医療法人 恒昭会（藍野病院・藍野花園病院・青葉丘病院）,,社会福祉科,5
S00034,,,社会福祉法人 ヒューマンライツ福祉協会,社会福祉科,2
S00035,,,社会福祉法人 みなと寮　（救護施設・特別養護老人ホーム）,社会福祉科,3
S00036,株式会社スバコ・ケア・エンジニアリング,,,社会福祉科,3
S00037,一般社団法人 水口病院,社会福祉法人 ヒューマンライツ福祉協会,,社会福祉科,5
S00038,社会福祉法人 南湖会【障がい児者支援事業】,株式会社スバコ・ケア・エンジニアリング,,社会福祉科,5
S00039,,株式会社 Ｔ’Ｓコーポレーショングループ,株式会社　絆ホールディングス,社会福祉科,5
S00040,社会医療法人寿栄会 ありまこうげんホスピタル,,,社会福祉科,3
S00041,株式会社　絆ホールディングス,医療法人社団 創生会,,社会福祉科,5
S00042,,,社会福祉法人　京都府社会福祉事業団,社会福祉科,2
S00043,株式会社　絆ホールディングス,,,社会福祉科,3
S00044,社会福祉法人 大阪自彊館,社会医療法人寿栄会 ありまこうげんホスピタル,,社会福祉科,5
S00045,医療法人 正正会 分野病院,社会医療法人寿栄会 ありまこうげんホスピタル,,社会福祉科,5
S00046,社会福祉法人 聖徳会,社会福祉法人 ヒューマンライツ福祉協会,,社会福祉科,5
S00047,医療法人社団 創生会,社会福祉法人 南湖会【障がい児者支援事業】,,社会福祉科,5
S00048,,社会福祉法人 南湖会【障がい児者支援事業】,株式会社スバコ・ケア・エンジニアリング,社会福祉科,5
S00049,,株式会社 シーアイ・パートナーズグループ,社会医療法人寿栄会 ありまこうげんホスピタル,社会福祉科,5
S00050,,医療法人 恒昭会（藍野病院・藍野花園病院・青葉丘病院）,株式会社 Ｔ’Ｓコーポレーショングループ,社会福祉科,5
S00051,,,一般社団法人 水口病院,社会福祉科,3
S00052,,,社会福祉法人 聖徳会,社会福祉科,1
S00053,社会医療法人寿栄会 ありまこうげんホスピタル,医療法人社団 創生会,,社会福祉科,5
S00054,社会福祉法人 ヒューマンライツ福祉協会,"株式会社 ミック・ジャパン
【ミック健康の森】　【ドラッグミック】　【ローソンドラッグミック】",,社会福祉科,3
S00055,,社会福祉法人 南湖会【障がい児者支援事業】,一般社団法人 水口病院,社会福祉科,5
S00056,,,社会福祉法人 聖徳会,社会福祉科,3
S00057,株式会社 Ｔ’Ｓコーポレーショングループ,医療法人 恒昭会（藍野病院・藍野花園病院・青葉丘病院）,,社会福祉科,5
S00058,医療法人 恒昭会（藍野病院・藍野花園病院・青葉丘病院）,社会福祉法人 大阪自彊館,,社会福祉科,5
S00059,公益財団法人　総合病院　浅香山病院,,,社会福祉科,3
S00060,医療法人 恒昭会（藍野病院・藍野花園病院・青葉丘病院）,社会福祉法人 みなと寮　（救護施設・特別養護老人ホーム）,,社会福祉科,5
S00061,,社会福祉法人 産経新聞厚生文化事業団,社会福祉法人 大阪自彊館,社会福祉科,5
S00062,社会福祉法人 大阪自彊館,株式会社スバコ・ケア・エンジニアリング,,社会福祉科,5
S00063,社会福祉法人 聖徳会,,,社会福祉科,3
S00064,,,医療法人社団 創生会,社会福祉科,3
S00065,,社会福祉法人 ヒューマンライツ福祉協会,公益財団法人　総合病院　浅香山病院,社会福祉科,5
S00066,医療法人 正正会 分野病院,医療法人 恒昭会（藍野病院・藍野花園病院・青葉丘病院）,,社会福祉科,5
